25603, Delyts, Error Code = 404,,,,,,,,
22770, Blue Heaven,Blue Heaven, Chinese, North Indian,,,,,,
18296363, The Nest Cafe,The Nest Cafe, Cafe, Salad,,,,,,
21712, Amber Cafe,Amber Cafe, North Indian, Continental, Italian,,,,,
18217482, Raja Bhat Khawa,Raja Bhat Khawa, Bengali, North Indian,,,,,,
21161, Indra Mahal,Indra Mahal, Street Food, South Indian,,,,,,
21455, Khana Khazana,Khana Khazana, North Indian, Chinese,,,,,,
20682, Bookhara,Bookhara, North Indian, Chinese, Mughlai,,,,,
23548, Hot Wok Village,Hot Wok Village, Chinese,,,,,,,
22162, Shanghai Street, Error Code = 404,,,,,,,,
18361643, To Die For,To Die For, Cafe, Bakery, Desserts,,,,,
18386814, Cantonese Restaurant,Cantonese Restaurant, Chinese, Thai,,,,,,
20177, The Drive Inn,The Drive Inn, Chinese, North Indian, Fast Food,,,,,
24433, Schezwan Pepper,Schezwan Pepper, Chinese,,,,,,,
23233, Jimmy's Kitchen,Jimmy's Kitchen, Chinese, Seafood,,,,,,
24679, Ira Lifestyle Cafe - Pipal Tree Hotel,Ira Lifestyle Cafe - Pipal Tree Hotel, South Indian, Bakery, Cafe,,,,,
25639, Haan 'D' Biryani,Haan 'D' Biryani, Mughlai, Biryani,,,,,,
24425, Jugal's,Jugal's, Bengali, Desserts, Street Food, Mishti,,,,
25240, Mio Amore,Mio Amore, Bakery, Desserts,,,,,,
23644, Koley's Kitchen,Koley's Kitchen, Chinese, North Indian,,,,,,
23722, Ganguram & Sons,Ganguram & Sons, Mishti,,,,,,,
18398882, Darao Pothik Bor,Darao Pothik Bor, North Indian, South Indian, Chinese,,,,,
22420, Shivam Family Restro,Shivam Family Restro, North Indian, Chinese,,,,,,
18311125, Caf?? Ekante Houseboat Restaurant,Café Ekante Houseboat Restaurant, Continental, Bengali,,,,,,
24059, Kwality Wall's Swirl's,Kwality Wall's Swirl's, Ice Cream, Desserts,,,,,,
18386820, Host,Host, Chinese,,,,,,,
18249143, Eighty8+ Kafe,Eighty8+ Kafe, Cafe, Chinese, Mexican, Lebanese, Italian,,,
21985, Dhaka Biriyani House & Restaurant,Dhaka Biriyani House & Restaurant, Biryani, North Indian,,,,,,
22462, Bhaatti-E-Swaad-E-Punjab, Error Code = 404,,,,,,,,
20510, Sweet N Sour,Sweet N Sour, Chinese, North Indian, Bengali, Rolls,,,,
23254, A Sweet Surrrender,A Sweet Surrrender, Bakery, Desserts,,,,,,
24913, Aami Bangali,Aami Bangali, Bengali, Bangladeshi,,,,,,
23113, Penguin Inn Pvt Ltd Restaurant,Penguin Inn, Chinese, North Indian,,,,,,
18388188, Nav Aminia, Error Code = 404,,,,,,,,
21572, Krishna Snacks Bar,Krishna Snacks Bar, South Indian, North Indian, Fast Food, Beverages,,,,
21513, Celebrations,Celebrations, Chinese, Momos,,,,,,
21888, Skylark,Skylark, North Indian, Chinese,,,,,,
22991, Chocotarian,Chocotarian, Bakery, Desserts,,,,,,
21234, Graham's Kitchen,Graham's Kitchen, Chinese, Seafood,,,,,,
21271, Saurav's,Saurav's, South Indian, Street Food,,,,,,
24984, Square Club,Square Club, Chinese, Mughlai, Street Food,,,,,
24281, Pleasure,Pleasure, North Indian, Chinese,,,,,,
21526, Zaika Bar and Restaurant,Zaika Bar and Restaurant, North Indian, Chinese,,,,,,
23590, Ivory,Ivory, North Indian, Continental,,,,,,
21990, Cafe Loopy Latte, Error Code = 404,,,,,,,,
22197, Masque Lounge & Bar,Masque Lounge & Bar, Continental, North Indian, Chinese, Finger Food,,,,
24378, Scone,Scone, Chinese, North Indian, Fast Food,,,,,
24826, The Scoop,The Scoop, Desserts, Fast Food, Chinese, South Indian,,,,
22593, Brew-Berry, Error Code = 404,,,,,,,,
22931, Basanta Cabin,Basanta Cabin, North Indian, Chinese,,,,,,
22514, Gopinath,Gopinath, Mishti,,,,,,,
22424, Herbs & Spices,The Herbs & Spices, North Indian, Chinese,,,,,,
21542, The Big Ben - Kenilworth Hotels,The Big Ben - Kenilworth Hotel, Finger Food,,,,,,,
22811, Bread Bazaar, Error Code = 404,,,,,,,,
18368690, Keventers,Keventers, Beverages,,,,,,,
21707, Second House Restaurant,Second House Restaurant, North Indian, Chinese, Continental,,,,,
18270228, Chaskaa Reloaded Cafe, Error Code = 404,,,,,,,,
18166916, Mughal Sarai,Mughal Sarai, Mughlai, North Indian,,,,,,
22535, Smokaccino,Smokaccino, Chinese, Continental, North Indian,,,,,
21469, Kings Grill,Kings Grill, Chinese, Street Food, North Indian, Rolls,,,,
23249, Nick 'N' Nack,Nick 'N' Nack, Fast Food,,,,,,,
24137, VIP Sweets,VIP Sweets, Mishti,,,,,,,
22196, Kaka Tea,Kaka Tea, Tea,,,,,,,
25713, Mutton Golbari,Mutton Golbari, Bengali, Healthy Food, Afghani, Biryani, North Indian, Bangladeshi, Indian, Kebab
18249164, Chung Wahh,Chung Wahh, Chinese, Momos,,,,,,
24803, Hooked Up Cafe, Error Code = 404,,,,,,,,
20727, Ridhi Sidhi,Ridhi Sidhi, Fast Food, North Indian, South Indian, Street Food, Beverages,,,
18343772, Fabelle Chocolate Boutique - ITC Sonar,Fabelle Chocolate Boutique - ITC Sonar, Ice Cream, Desserts,,,,,,
25467, Body N Mind Cafe, Error Code = 404,,,,,,,,
18143236, Eat Smart,Eat Smart, Chinese, Thai, Italian,,,,,
18452208, The Baking Theory,The Baking Theory, Bakery,,,,,,,
23205, Sunny's Refreshment,Sunny's Refreshment, Chinese, South Indian, North Indian,,,,,
18311137, Pasta Basta,Pasta Basta, Continental, Italian, Chinese,,,,,
21721, Regent Restaurant,Regent Restaurant, Chinese, North Indian, Mughlai,,,,,
18312670, Bong Fusion Cafe,Bong Fusion Cafe, Chinese, Bengali, Indian,,,,,
23204, Sona Restaurant,Sona Restaurant, Chinese, North Indian,,,,,,
22657, Bake Paradise,Bake Paradise, Bakery, Desserts, Fast Food, Momos,,,,
20028, Asha, Error Code = 404,,,,,,,,
24532, Sen Mahasaya,Sen Mahasay, Mishti,,,,,,,
21336, Mayaram Restaurant,Mayaram Restaurant, Street Food, Beverages, South Indian, Fast Food, Desserts, Pizza, North Indian, Chinese
18311148, Every Door's Mystery, Error Code = 404,,,,,,,,
24380, Junior Brothers,Junior Brothers, South Indian, Street Food,,,,,,
21260, Jadu Kadai,Jadu Kadai, Chinese, North Indian,,,,,,
23375, La China Grill,La China Grill, Chinese, Fast Food, Street Food, Momos,,,,
23608, Kalapata,Kalapata, Bengali,,,,,,,
17983781, Niranjan Agar,Niranjan Agar, North Indian,,,,,,,
21694, The Dhaba,The Dhaba, North Indian, Mughlai,,,,,,
20137, City's Sizzler,City's Sizzler, Chinese, North Indian, Continental,,,,,
24262, West Wind,West Wind, North Indian, Chinese,,,,,,
22662, Karri Klub,Karri Klub, North Indian, Chinese,,,,,,
18017655, Snack Street Cafe,Snack Street Cafe, Sandwich, Fast Food, Beverages, Burger, Pizza,,,
22365, Haridas Modak,Haridas Modak, Mishti,,,,,,,
21627, West View Bar & Grill - ITC Sonar,West View Bar & Grill - ITC Sonar, European, Mediterranean,,,,,,
18398887, Preach,Preach, North Indian, Continental, Chinese,,,,,
18249141, Soul Kitchen,Soul Kitchen, North Indian, Chinese, Continental, Biryani, South Indian,,,
21777, Pam's Cafe,Pam's Cafe, Cafe, Fast Food,,,,,,
21757, Urmila,Urmila, North Indian, Chinese, Mughlai,,,,,
21938, Raul's Restaurant,Raul's Restaurant, North Indian, Chinese,,,,,,
18361656, Mad Hatter's,Mad Hatter's, Cafe, Chinese, Italian, Continental,,,,
22184, Penguin Food Bazaar, Error Code = 404,,,,,,,,
21649, Shibuji,Shibuji, Street Food, Beverages,,,,,,
18070807, Kitchen  Stories,Kitchen  Stories, Bakery, Burmese, Asian, Lebanese,,,,
20356, Mushroom,Mushroom, Chinese, North Indian,,,,,,
24565, Star Vada Pav,Star Vada Pav, Street Food,,,,,,,
23658, Baraf - The Last Metro,Baraf, Chinese, North Indian, Continental,,,,,
23929, Baked & Fried, Error Code = 404,,,,,,,,
18368667, Zahtar - The Maureen,Zahtar, Continental, Chinese, North Indian, Salad,,,,
23256, Sen Mahasaya,Sen Mahasay, Mishti,,,,,,,
20687, Samrat Snacks,Samrat Snacks, Chinese, Mughlai, North Indian, Rolls,,,,
20879, Floriana,Floriana, North Indian, Chinese, Continental,,,,,
20735, The Chef,The Chef, Bengali, Healthy Food, Tibetan, North Indian, Chinese, Bangladeshi, Indian,
22457, Agarwal's Pav Bhaji,Agarwal's Pav Bhaji, Street Food, Momos,,,,,,
21780, Trincas The Other Room,Trincas The Other Room, Chinese, Continental, North Indian,,,,,
21329, Maharaja,Maharaja, Chinese, North Indian,,,,,,
23184, Pulpy Grape Juice, Error Code = 404,,,,,,,,
18296347, Anir's,Anir's, North Indian, Chinese, Street Food, Fast Food,,,,
22194, Hungry Hunter,Hungry Hunter, Chinese, Thai,,,,,,
21301, Sonamati Restaurant,Sonamati Restaurant, Chinese, North Indian, Seafood,,,,,
23418, Snax Point,Snax Point, Fast Food,,,,,,,
21587, Den - Hotel O2 Oxygen,Den, North Indian, Chinese, Continental,,,,,
23718, Ganguram,Ganguram, Mishti,,,,,,,
18343760, Eggilicious,Eggilicious, Fast Food,,,,,,,
20705, Rimi Restaurant,Rimi Restaurant, Chinese, North Indian,,,,,,
21692, Park Pavilion - Jameson Inn Shiraz Hotel,Park Pavilion - Jameson Inn Shiraz Hotel, North Indian, Continental, South Indian, Chinese,,,,
25444, The Accord,The Accord, North Indian, Chinese,,,,,,
23149, New Ashiana,New Ashiana, Chinese, North Indian, Biryani,,,,,
21494, Ming Garden Chinese Restaurant,Ming Garden Chinese Restaurant, Chinese,,,,,,,
24297, Raasta Cafe,Raasta Cafe, Fast Food, North Indian,,,,,,
18343774, Fork & Knife,Fork & Knife, North Indian, Continental,,,,,,
20858, New Embassy,New Embassy, Chinese,,,,,,,
21295, U.P. Bihar,U.P. Bihar, North Indian, Biryani, Rolls,,,,,
23621, Sip & Sandwich,Sip & Sandwich, Sandwich, Fast Food,,,,,,
21447, China Gardens,China Gardens, Chinese, Momos,,,,,,
23638, Gangaur,Gangaur, North Indian, South Indian, Chinese,,,,,
20646, Mallika,Mallika, Chinese, Tibetan, Street Food,,,,,
18237060, Kasturi Restaurant,Kasturi Restaurant, Bengali,,,,,,,
21468, Mom's Green Chilli, Error Code = 404,,,,,,,,
23828, Bell Peppers,Bell Peppers, Chinese, North Indian,,,,,,
22897, Ar-Han-Thai,Ar-Han-Thai, Lebanese, Thai,,,,,,
18351506, Kaviar,Kaviar, Continental, North Indian, Mughlai,,,,,
20868, Rang Mahal,Rang Mahal, Chinese, Continental, North Indian,,,,,
21982, Sanghai Pure Chinese Food,Sanghai Pure Chinese Food, Chinese,,,,,,,
22664, Flames,Flames, Cafe, Fast Food,,,,,,
22816, Kabab Company, Error Code = 404,,,,,,,,
22668, Penguin Food Court,Penguin Food Court, North Indian, Chinese,,,,,,
22033, Jiban Jamuna,Jiban Jamuna, Bengali, Biryani, Desserts, North Indian, Chinese, Salad, Indian,
18228024, Vaango,Vaango, South Indian,,,,,,,
22901, New Palace,New Palace, North Indian, Chinese, Biryani,,,,,
25550, Nosh,Nosh, Cafe, Mexican, Continental,,,,,
18386780, London Pub - Golden Parkk, Error Code = 404,,,,,,,,
22713, Sanjha Chulha Express,Sanjha Chulha Express, North Indian,,,,,,,
23919, Melete - Sweet Nothings & More,Melete - Sweet Nothings & More, Bakery, Desserts,,,,,,
18343749, Silli Chillies,Silli Chillies, Chinese,,,,,,,
25425, Cheesy People, Error Code = 404,,,,,,,,
22363, Say Cheese,Say Cheese, Italian,,,,,,,
22405, Farina Restaurant Cum Bar,Farina Restaurant Cum Bar, North Indian, Chinese,,,,,,
21549, New Deeya Bati,New Deeya Bati, North Indian, Chinese, South Indian, Continental, Fast Food,,,
20803, Baked N Fried,Baked N Fried, Chinese, Fast Food,,,,,,
18270223, Moghul-E-Azam,Moghul-E-Azam, North Indian, Seafood, Chinese,,,,,
20138, Classic Tandoor,Classic Tandoor, Chinese, North Indian,,,,,,
22353, Capri Restaurant,Capri Restaurant, Chinese,,,,,,,
21501, Pasha - The Pearl Hotel,Pasha - The Pearl Hotel, North Indian, Chinese, South Indian,,,,,
20786, The Central Grub Club,The Central Grub Club, Chinese, Tibetan,,,,,,
23147, Bombay Shiv Sagar, Error Code = 404,,,,,,,,
22581, Khirki Shri Hari Jalpan Shop,Khirki Shri Hari Jalpan Shop, Street Food,,,,,,,
18420404, Pizzeria House,Pizzeria House, Desserts, Italian, Pizza,,,,,
18368689, Cafe Mezzaluna,Cafe Mezzaluna, North Indian, Chinese, Continental,,,,,
21302, China Green,China Green, Chinese, North Indian,,,,,,
18287270, Bong Belly,Bong Belly, North Indian, Seafood, South Indian, Cafe,,,,
21052, Sarang,Sarang, South Indian, Street Food, Fast Food, Juices,,,,
18265463, Tai Chien Village,Tai Chien Village, Thai, Chinese, Bengali,,,,,
22822, State of Punjab, Error Code = 404,,,,,,,,
18265435, Amar Cafe,Amar Cafe, Cafe, Sandwich, Ice Cream, Beverages, Salad, Italian, North Indian,
18198676, Kaos,Kaos, Desserts, Bakery,,,,,,
20638, Chhota Ellaichi,Chhota Ellaichi, Chinese, North Indian,,,,,,
24548, Filmy Gali, Error Code = 404,,,,,,,,
23864, Shree Krishna Sweets,Shree Krishna Sweets, Mithai, Mishti, Street Food,,,,,
21983, Haldiram's,Haldiram's Prabhuji, Chinese, Fast Food, Mithai, North Indian, Mishti, Desserts, South Indian,
25058, Biryani House,Biryani House, North Indian, Mughlai, Street Food,,,,,
21616, Agnee - Vedic Village Spa Resort,Agnee - Vedic Village Spa Resort, North Indian, Chinese,,,,,,
22103, Green Apple,Green Apple, Cafe, Fast Food,,,,,,
18343757, STAY UP LATE, Error Code = 404,,,,,,,,
20787, Wing Wah,Wing Wah, Chinese,,,,,,,
24846, Chunky's, Error Code = 404,,,,,,,,
24883, Bestaste Momo, Error Code = 404,,,,,,,,
23343, Nyonyang - Park Plaza, Error Code = 404,,,,,,,,
22047, Ashoka Restaurant,Ashoka Restaurant, Chinese, North Indian,,,,,,
18398863, Reddot, Error Code = 404,,,,,,,,
21229, My Little Kitchen,My Little Kitchen, Chinese, North Indian,,,,,,
18347574, Satish Chandra Das & Sons - Satish Moira,Satish Chandra Das & Sons, Bengali, Mishti,,,,,,
23264, Olive - Hotel Niharika,Olive - Hotel Niharika, North Indian, Chinese, Continental,,,,,
25501, The Wok, Error Code = 404,,,,,,,,
18361652, Cake Cookies & More,Cake Cookies & More, Bakery, Desserts,,,,,,
18386777, Salt,Salt, Mughlai, Biryani, North Indian, Bohri,,,,
18386791, Sound of Groovz,Sound of Groovz, Cafe, Italian,,,,,,
21833, Szafran,Szafran, North Indian, Continental, Bengali, South Indian, Chinese, Fast Food,,
23165, Hara Gouri Mistanna Bhandar,Hara Gouri Mistanna Bhandar, Mishti,,,,,,,
21504, Girnaar Restaurant,Girnaar Restaurant, South Indian, Fast Food, Italian, North Indian, Chinese,,,
23657, Babumashai - The Last Metro,Babumashai, Bengali, North Indian, Chinese,,,,,
22208, Kickshaw, Error Code = 404,,,,,,,,
18354616, Calcutta Calling,Calcutta Calling, North Indian, Chinese, Thai,,,,,
24857, Bunkers Spot Cafe, Error Code = 404,,,,,,,,
22878, Tewari Confectioners,Tewari Confectioners, Street Food, Mishti,,,,,,
21565, Unwine - The Sonnet,Unwine - The Sonnet, North Indian, Continental, Chinese,,,,,
23820, Ola Gola,Ola Gola, Desserts, Street Food,,,,,,
23803, Desi Streat,Desi Streat, South Indian, Street Food,,,,,,
18377092, Kiaat Reloaded,Kiaat Reloaded, Cafe, Chinese, Continental,,,,,
20688, Annapurna Foods,Annapurna Foods, Biryani, Chinese, Fast Food, Finger Food, North Indian, Rolls, Kashmiri, Kebab
18431455, The Brewich Cafe, Error Code = 404,,,,,,,,
20950, Babumoshai Restaurant,Babumoshai Restaurant, North Indian, Chinese,,,,,,
18325247, Al Hameed Restaurant,Al Hameed Restaurant, North Indian, Mughlai,,,,,,
22172, Bazeegar,Bazeegar, Street Food, Chinese, Rolls,,,,,
21582, Ego Retro Lounge - The Peerless Inn,Ego Retro Lounge - The Peerless Inn, Finger Food,,,,,,,
21684, Flambe - Hotel The Sojourn,Flambe, Bengali, Chinese, Continental, North Indian,,,,
23592, Scone,Scone, North Indian, Chinese, Fast Food, Rolls,,,,
25078, China Green,China Green, Tibetan, Chinese, Asian, Momos,,,,
18251913, K.C.Gope & Co.,K.C.Gope & Co., South Indian, Desserts,,,,,,
20640, Dunlop Hotel and Restaurant,Dunlop Hotel and Restaurant, Biryani, Fast Food, North Indian, Chinese, Rolls,,,
24132, Hidden Dragon,Hidden Dragon, Chinese, Thai, North Indian,,,,,
20658, Barsha,Barsha, Chinese, North Indian,,,,,,
18134891, Kichhukshan Restaurant,Kichhukshan Restaurant, North Indian, Chinese,,,,,,
20700, H2O,H2O, North Indian, Chinese, Continental,,,,,
24359, HUNGRYEE,HUNGRYEE, Chinese,,,,,,,
