JW Kitchen - JW Marriott,18398880,0
Peter Cat,20404,1
Barbeque Nation,20842,2
Barbeque Nation,25570,3
Spice Kraft,18017612,4
What's Up,18017615,5
6 Ballygunge Place,20002,6
The Irish House,24286,7
Oudh 1590,23273,8
Mocambo,20350,9
Jaisalmer,24537,10
Fly Kouzina,24760,11
India Restaurant,20747,12
Flurys,21212,13
Chili's Grill & Bar,23729,14
Sigree Global Grill,24452,15
Santa's Fantasea,24530,16
Oudh 1590,25628,17
Afraa Restaurant And Lounge,20852,18
Blue And Beyond,21636,19
Arsalan,20797,20
Ocean Grill,18259462,21
BarBQ,20870,22
Santa's Fantasea,18143268,23
Asia Kitchen by Mainland China,18217475,24
Gabbar's Bar & Kitchen,25664,25
Hatari,20240,26
Chowman,23933,27
The Corner Courtyard,23636,28
The Wall,20833,29
The Factory Outlet,24629,30
Mrs. Magpie,22164,31
My Big Fat Belly,18343765,32
Yauatcha,24503,33
Barcelos,18311134,34
Hoppipola,18249144,35
Haka,20782,36
Abar Baithak,24657,37
Paris Cafe,24564,38
Nawwarah,18377112,39
The Bikers Cafe,24342,40
The Steak Factory,24525,41
Bon Appetit,21885,42
Olypub,20855,43
Scoop,20456,44
TGI Friday's,25587,45
Aminia,23557,46
Rang De Basanti Dhaba,23767,47
Kaafila,21426,48
Chili's Grill & Bar,25714,49
Tamara - Pipal Tree Hotel,23587,50
6 Ballygunge Place,21308,51
Momo I Am,18198678,52
Tung Fong,21380,53
Royal Indian Hotel,21411,54
Chili's Grill & Bar,25718,55
Au Bon Pain,23805,56
Hakuna Matata,25654,57
Wise Owl,21997,58
Golden Joy,21346,59
Cafe Mezzuna,23831,60
Big Boss,21431,61
MUD,25199,62
Beijing,21347,63
Nizam's,21176,64
Bombay Brasserie,24205,65
Calcutta Bistro,20613,66
Bohemian,21520,67
Balwant Singh's Eating House,20754,68
The GRID,18343730,69
Balle Balle Dhaba,24313,70
Tandoor Park,20518,71
Flame & Grill,21220,72
CIT Cafe,21578,73
Terminal 11,18017610,74
Mainland China,20928,75
Piccadilly Square,20720,76
Indian Coffee House,21764,77
KFC,20287,78
Shiraz Golden Restaurant,21527,79
Chai Break,24735,80
